text,intent,maturity_score,entities,category,metadata
"Hence, studies following this perspective help us 
to understand the peculiarities and evolutions of digital business ecosystems as a whole 
and their impacts on organizational designs.",others,1.0,[],Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Second, this shift is embedded in and driven by digital business ecosystems.",others,1.0,"[('Second', 'ORDINAL')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Hence, the ideas and topics related to DT such as automatized, data-driven and virtual 
business processes or ecosystem-oriented and embedded organizations are not simply 
academic, but of high relevance in practice as well since they provide insights into key 
questions of organizational change and strategy such as how to adapt organizations, 
 14676486, 2021, 5, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/joms.12639 by Capes, Wiley Online Library on [30/04/2025].",organizational_architecture,3.0,"[('data-driven', 'DATA'), ('14676486', 'DATE'), ('2021', 'DATE'), ('5', 'CARDINAL'), ('Capes, Wiley Online Library', 'ORG'), ('30/04/2025', 'CARDINAL')]",Technology and Infrastructure,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Furthermore, the change towards a 
malleable organizational design is embedded in and driven by digital business ecosystems 
and cannot be considered in isolation from this.",others,1.0,[],Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Within digital business ecosystems, 
however, the value propositions pursued can change radically in a short period of time 
(Yoo et al., 2012).",others,1.0,"[('Yoo', 'PERSON'), ('2012', 'DATE')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"‘The art of continuous change: Linking complexity theory and 
time-paced evolution in relentlessly shifting organizations’.",others,1.0,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Though, especially in the beginning of DT and 
due to the unpredictable evolution of digital business ecosystems in later phases, change 
agents from the perspective of episodic change will also be necessary.",others,1.0,"[('DT', 'WORK_OF_ART')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"[Dialectics theory]
•	 How can we extend institutional adaptation theories 
to account for the turbulent nature of digital business 
ecosystems and the resulting dynamics in environmental 
demands?",Organizational Change,0.14,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"For instance, the internal change processes of an organization from a pipeline towards a 
platform company may significantly shape and be shaped by the business environments, 
partner networks, etc.",others,1.0,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Finally, we derive a substan-
tial research agenda on the basis of our analysis of the fit between the phenomenon of 
DT and the established literature on organizational change and innovation.",organizational_architecture,1.0,"[('DT', 'WORK_OF_ART')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"At the same time, however, the phenomenon of DT also seems to present an oppor-
tunity (and necessity) to advance the existing body of knowledge about organizational 
change.",others,1.0,"[('DT', 'WORK_OF_ART')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"A Research Agenda for Digital Transformation
In what follows, we provide several avenues for future research by combining the insights 
yielded by our systematic review of DT in relation to the nature of change (see previous 
section) with the perspectives of our typology (Figure 3).",Organizational Change,0.16,"[('Digital Transformation', 'ORG'), ('DT', 'WORK_OF_ART'), ('3', 'CARDINAL')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Relentlessly changing organizations have been 
identified in software industries (Brown and Eisenhardt, 1997).",others,1.0,"[('Brown', 'PERSON'), ('Eisenhardt', 'GPE'), ('1997', 'DATE')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Towards Digital Business Ecosystems
Drawing upon the manifold changes that our review has revealed with regards to an-
tecedents and outcomes, in conjunction with the emergence of malleable organizational 
designs that dynamically tune firms to their environments, we can identify a move towards 
digital business ecosystems as the second thematic pattern of DT.",others,1.0,"[('second', 'ORDINAL'), ('DT', 'WORK_OF_ART')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"‘HR’s guide to the digital transformation: Ten digital economy use cases for transforming 
human resources in manufacturing’.",Organizational Change,0.16,"[('Ten', 'CARDINAL')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"A promising avenue for this is the approaches that synthesize linear approaches 
of organizational development with cyclical change theories (Marshak, 1993).",others,1.0,"[('linear', 'ORG'), ('1993', 'DATE')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Such a view enables us to potentially explain 
the phenomenon of  DT and its management in business practice by drawing on the 
robust and diversified knowledge base relating to organizational change and innova-
tion (Poole and Van de Ven, 2004).",organizational_architecture,4.0,"[('DT', 'WORK_OF_ART'), ('Poole', 'PRODUCT'), ('2004', 'DATE')]",Technology and Infrastructure,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"However, such theories should be adapted to account for the 
changing impact that external actors, drawing on divergent values, rules and resources 
from outside the organization, might have on the firm when interacting through shared 
digital technology.",others,1.0,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
